"site_id","date","watt_min","watt_max","watt_avg","watt_hours","watt_hours_expected","site","address","latitude","longitude","department","YearMonth"
3764455,2018-08-01,NA,22322,4689,116001,100226,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2018-08"
3764455,2018-08-02,NA,18839,5777,137789,100226,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2018-08"
3764455,2018-08-03,NA,22021,3762,91498,100226,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2018-08"
3764455,2018-08-04,NA,19453,5354,129282,100226,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2018-08"
3764455,2018-08-05,NA,20850,5222,124382,100226,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2018-08"
3764455,2018-08-06,NA,21142,5120,123915,100226,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2018-08"
3764455,2018-08-07,NA,20494,4163,99470,100226,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2018-08"
3764455,2018-08-08,NA,21184,4128,98921,100226,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2018-08"
3764455,2018-08-09,NA,19348,4214,99731,100226,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2018-08"
3764455,2018-08-10,NA,20381,4748,112700,100226,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2018-08"
3764455,2018-08-11,NA,20201,5187,126975,100226,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2018-08"
3764455,2018-08-12,NA,19058,5522,130009,100226,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2018-08"
3764455,2018-08-13,NA,19198,4625,114011,100226,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2018-08"
3764455,2018-08-14,NA,18007,5189,124307,100226,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2018-08"
3764455,2018-08-15,NA,9866,1390,34231,100226,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2018-08"
3764455,2018-08-16,NA,23184,2134,52487,100226,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2018-08"
3764455,2018-08-17,NA,20758,2478,60221,100226,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2018-08"
3764455,2018-08-18,NA,22558,3323,79945,100226,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2018-08"
3764455,2018-08-19,NA,19060,4874,116822,100226,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2018-08"
3764455,2018-08-20,NA,18161,3181,74666,100226,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2018-08"
3764455,2018-08-21,NA,23486,3106,76315,100226,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2018-08"
3764455,2018-08-22,NA,21302,4408,103092,100226,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2018-08"
3764455,2018-08-23,NA,20731,5649,135488,100226,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2018-08"
3764455,2018-08-24,NA,15593,2604,61894,100226,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2018-08"
3764455,2018-08-25,NA,24053,2765,67591,100226,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2018-08"
3764455,2018-08-26,NA,20241,4361,105513,100226,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2018-08"
3764455,2018-08-27,NA,19487,4944,118001,100226,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2018-08"
3764455,2018-08-28,NA,19375,4918,120950,100226,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2018-08"
3764455,2018-08-29,NA,22631,4154,93285,100226,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2018-08"
3764455,2018-08-30,NA,22001,4725,111180,100226,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2018-08"
3764455,2018-08-31,NA,20061,2797,70007,100226,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2018-08"
3764456,2018-08-01,NA,26706,5384,135016,125871,"Winslow JR.","2120 South Highland Avenue",39.140232,-86.516402,"Bloomington Parks & Rec","2018-08"
3764456,2018-08-02,NA,22866,7111,171782,125871,"Winslow JR.","2120 South Highland Avenue",39.140232,-86.516402,"Bloomington Parks & Rec","2018-08"
3764456,2018-08-03,NA,24321,4676,111972,125871,"Winslow JR.","2120 South Highland Avenue",39.140232,-86.516402,"Bloomington Parks & Rec","2018-08"
3764456,2018-08-04,NA,23827,6028,145345,125871,"Winslow JR.","2120 South Highland Avenue",39.140232,-86.516402,"Bloomington Parks & Rec","2018-08"
3764456,2018-08-05,NA,23521,6162,150241,125871,"Winslow JR.","2120 South Highland Avenue",39.140232,-86.516402,"Bloomington Parks & Rec","2018-08"
3764456,2018-08-06,NA,24924,6380,146215,125871,"Winslow JR.","2120 South Highland Avenue",39.140232,-86.516402,"Bloomington Parks & Rec","2018-08"
3764456,2018-08-07,NA,25068,4969,119659,125871,"Winslow JR.","2120 South Highland Avenue",39.140232,-86.516402,"Bloomington Parks & Rec","2018-08"
3764456,2018-08-08,NA,26638,5481,131856,125871,"Winslow JR.","2120 South Highland Avenue",39.140232,-86.516402,"Bloomington Parks & Rec","2018-08"
3764456,2018-08-09,NA,23504,5503,131111,125871,"Winslow JR.","2120 South Highland Avenue",39.140232,-86.516402,"Bloomington Parks & Rec","2018-08"
3764456,2018-08-10,NA,21882,5631,133339,125871,"Winslow JR.","2120 South Highland Avenue",39.140232,-86.516402,"Bloomington Parks & Rec","2018-08"
3764456,2018-08-11,NA,23977,6457,153553,125871,"Winslow JR.","2120 South Highland Avenue",39.140232,-86.516402,"Bloomington Parks & Rec","2018-08"
