"site_id","date","watt_min","watt_max","watt_avg","watt_hours","watt_hours_expected","site","address","latitude","longitude","department","YearMonth"
3764455,2021-05-01,NA,18251,5928,137895,NA,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2021-05"
3764457,2021-05-01,NA,40549,15029,322932,175536,"Police Firing Range","3230 South Walnut Street",39.126991,-86.532934,"Bloomington Public Works","2021-05"
3764459,2021-05-01,NA,10840,3073,70266,NA,"Fire 3","810 North Woodlawn Avenue",39.173428,-86.523519,"Bloomington Public Works","2021-05"
3764461,2021-05-01,NA,19034,6649,151061,NA,"Sanitation Building","3410 South Walnut Street",39.122987,-86.532137,"Bloomington Public Works","2021-05"
3764463,2021-05-01,NA,18398,6278,141591,NA,"Maintenance Building 545","545 South Adams Street",39.161806,-86.549627,"Bloomington Parks & Rec","2021-05"
3764465,2021-05-01,NA,9981,3465,75353,NA,"Winslow SR.","2120 South Highland Avenue",39.140232,-86.516402,"Bloomington Parks & Rec","2021-05"
3764467,2021-05-01,NA,15024,6072,139214,NA,"Morton St Garage","220 North Morton Street",39.1678,-86.535909,"Bloomington Public Works","2021-05"
3764468,2021-05-01,NA,41924,13202,307859,NA,"Bryan Park","1020 South Woodlawn Avenue",39.15514,-86.523304,"Bloomington Parks & Rec","2021-05"
3764470,2021-05-01,NA,19435,7042,158986,NA,"Walnut St Garage","302 North Walnut Street",39.168868,-86.53325,"Bloomington Public Works","2021-05"
3764456,2021-05-01,NA,24184,7782,180423,NA,"Winslow JR.","2120 South Highland Avenue",39.140232,-86.516402,"Bloomington Parks & Rec","2021-05"
3764460,2021-05-01,NA,4979,1699,38136,NA,"Maintenance Building 345","345 South Adams Street",39.164651,-86.551031,"Bloomington Parks & Rec","2021-05"
3764464,2021-05-01,NA,8119,2893,63382,NA,"Fire 4","2201 East 3rd Street",39.164505,-86.506999,"Bloomington Public Works","2021-05"
3764466,2021-05-01,NA,14732,3567,45304,NA,"Winslow Tennis","2120 South Highland Avenue",39.140232,-86.516402,"Bloomington Parks & Rec","2021-05"
3764469,2021-05-01,NA,31478,9986,231423,NA,"Mills Pool","1100 West 14th Street",39.175869,-86.547203,"Bloomington Parks & Rec","2021-05"
3764471,2021-05-01,NA,16711,5962,136984,NA,"Street Department","1981 South Henderson Street",39.14464,-86.526946,"Bloomington Public Works","2021-05"
3764472,2021-05-01,NA,39408,13488,305969,NA,"Fire 2","800 North Woodlawn Avenue",39.173432,-86.523501,"Bloomington Public Works","2021-05"
3764473,2021-05-01,NA,42802,15091,335777,NA,"Fleet Maintenance Facility","800 East Miller Drive",39.146887,-86.524275,"Bloomington Public Works","2021-05"
3764474,2021-05-01,NA,36270,12796,283713,NA,"Fire 1","217 South Lincoln Street",39.164879,-86.530824,"Bloomington Public Works","2021-05"
3764475,2021-05-01,NA,16743,4349,97408,NA,"Olcott Park","1300 East Canada Drive",39.127835,-86.510092,"Bloomington Parks & Rec","2021-05"
3764476,2021-05-01,NA,4755,1597,35733,NA,"RCA Thompson","2125 West Rca Park Drive",39.144607,-86.54551,"Bloomington Parks & Rec","2021-05"
3767517,2021-05-01,NA,78870,24789,594310,NA,"Showers City Hall Covered Parking","401 North Morton Street",39.170308,-86.536943,"Bloomington Public Works","2021-05"
3767518,2021-05-01,NA,35290,11288,270720,NA,"SE Booster Station & Tank","4101 South Harrell Road",39.119423,-86.497204,"Bloomington Utilites","2021-05"
3767519,2021-05-01,NA,64440,19209,461970,NA,"Twin Lakes Ballfields","2350 West Bloomfield Road",39.153763,-86.565233,"Bloomington Parks & Rec","2021-05"
3767523,2021-05-01,NA,104530,34728,835250,NA,"Bus Transit Center","301 South Walnut Street",39.164416,-86.533327,"Bloomington Public Works","2021-05"
3767528,2021-05-01,NA,491481,172992,4128282,NA,"Dillman WWTP Complex","100 West Dillman Road",39.094383,-86.54907,"Bloomington Utilites","2021-05"
3767564,2021-05-01,NA,134828,54967,936445,NA,"Monroe WTP Complex","7470 South Shields Ridge Road",39.071776,-86.463666,"Bloomington Utilites","2021-05"
3767565,2021-05-01,NA,162300,53944,1290620,NA,"Frank Southern Center","1965 South Henderson Street",39.144845,-86.526945,"Bloomington Parks & Rec","2021-05"
3767567,2021-05-01,NA,201450,67266,1612190,NA,"Utility Department HQ","600 East Miller Drive",39.146239,-86.5261,"Bloomington Utilites","2021-05"
3767568,2021-05-01,NA,513830,170149,4085750,NA,"Twin Lakes Rec Center","1700 West Bloomfield Road",39.15635,-86.563258,"Bloomington Parks & Rec","2021-05"
3764455,2021-05-02,NA,16003,3330,78252,NA,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2021-05"
3764456,2021-05-02,NA,23376,4348,101197,NA,"Winslow JR.","2120 South Highland Avenue",39.140232,-86.516402,"Bloomington Parks & Rec","2021-05"
3764457,2021-05-02,NA,41005,8321,180479,175536,"Police Firing Range","3230 South Walnut Street",39.126991,-86.532934,"Bloomington Public Works","2021-05"
3764459,2021-05-02,NA,10252,1933,43528,NA,"Fire 3","810 North Woodlawn Avenue",39.173428,-86.523519,"Bloomington Public Works","2021-05"
3764460,2021-05-02,NA,4276,912,20726,NA,"Maintenance Building 345","345 South Adams Street",39.164651,-86.551031,"Bloomington Parks & Rec","2021-05"
3764461,2021-05-02,NA,18708,3722,83775,NA,"Sanitation Building","3410 South Walnut Street",39.122987,-86.532137,"Bloomington Public Works","2021-05"
3764463,2021-05-02,NA,16802,3623,79159,NA,"Maintenance Building 545","545 South Adams Street",39.161806,-86.549627,"Bloomington Parks & Rec","2021-05"
3764464,2021-05-02,NA,7740,1604,35736,NA,"Fire 4","2201 East 3rd Street",39.164505,-86.506999,"Bloomington Public Works","2021-05"
3764465,2021-05-02,NA,9958,1873,41831,NA,"Winslow SR.","2120 South Highland Avenue",39.140232,-86.516402,"Bloomington Parks & Rec","2021-05"
3764466,2021-05-02,NA,NA,NA,NA,NA,"Winslow Tennis","2120 South Highland Avenue",39.140232,-86.516402,"Bloomington Parks & Rec","2021-05"
3764467,2021-05-02,NA,15153,3698,84525,NA,"Morton St Garage","220 North Morton Street",39.1678,-86.535909,"Bloomington Public Works","2021-05"
3764468,2021-05-02,NA,41198,7910,183299,NA,"Bryan Park","1020 South Woodlawn Avenue",39.15514,-86.523304,"Bloomington Parks & Rec","2021-05"
3764469,2021-05-02,NA,28982,5679,132238,NA,"Mills Pool","1100 West 14th Street",39.175869,-86.547203,"Bloomington Parks & Rec","2021-05"
3764470,2021-05-02,NA,17984,3872,88237,NA,"Walnut St Garage","302 North Walnut Street",39.168868,-86.53325,"Bloomington Public Works","2021-05"
3764471,2021-05-02,NA,16589,3378,76170,NA,"Street Department","1981 South Henderson Street",39.14464,-86.526946,"Bloomington Public Works","2021-05"
3764472,2021-05-02,NA,37823,7777,176332,NA,"Fire 2","800 North Woodlawn Avenue",39.173432,-86.523501,"Bloomington Public Works","2021-05"
3764473,2021-05-02,NA,40102,8457,191185,NA,"Fleet Maintenance Facility","800 East Miller Drive",39.146887,-86.524275,"Bloomington Public Works","2021-05"
3764474,2021-05-02,NA,31499,7351,163391,NA,"Fire 1","217 South Lincoln Street",39.164879,-86.530824,"Bloomington Public Works","2021-05"
3764475,2021-05-02,NA,16505,2857,65188,NA,"Olcott Park","1300 East Canada Drive",39.127835,-86.510092,"Bloomington Parks & Rec","2021-05"
3764476,2021-05-02,NA,4413,863,19115,NA,"RCA Thompson","2125 West Rca Park Drive",39.144607,-86.54551,"Bloomington Parks & Rec","2021-05"
3767517,2021-05-02,NA,73830,14639,355080,NA,"Showers City Hall Covered Parking","401 North Morton Street",39.170308,-86.536943,"Bloomington Public Works","2021-05"
3767518,2021-05-02,NA,34950,6046,143780,NA,"SE Booster Station & Tank","4101 South Harrell Road",39.119423,-86.497204,"Bloomington Utilites","2021-05"
3767519,2021-05-02,NA,55850,10659,256220,NA,"Twin Lakes Ballfields","2350 West Bloomfield Road",39.153763,-86.565233,"Bloomington Parks & Rec","2021-05"
3767523,2021-05-02,NA,93060,19672,468500,NA,"Bus Transit Center","301 South Walnut Street",39.164416,-86.533327,"Bloomington Public Works","2021-05"
3767528,2021-05-02,NA,384374,75959,1810009,NA,"Dillman WWTP Complex","100 West Dillman Road",39.094383,-86.54907,"Bloomington Utilites","2021-05"
3767564,2021-05-02,NA,136158,27770,589973,NA,"Monroe WTP Complex","7470 South Shields Ridge Road",39.071776,-86.463666,"Bloomington Utilites","2021-05"
3767565,2021-05-02,NA,161180,30260,722320,NA,"Frank Southern Center","1965 South Henderson Street",39.144845,-86.526945,"Bloomington Parks & Rec","2021-05"
3767567,2021-05-02,NA,193160,37999,903810,NA,"Utility Department HQ","600 East Miller Drive",39.146239,-86.5261,"Bloomington Utilites","2021-05"
3767568,2021-05-02,NA,455740,95106,2299250,NA,"Twin Lakes Rec Center","1700 West Bloomfield Road",39.15635,-86.563258,"Bloomington Parks & Rec","2021-05"
3764455,2021-05-03,NA,11830,1570,37013,NA,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2021-05"
3764456,2021-05-03,NA,18846,1834,42214,NA,"Winslow JR.","2120 South Highland Avenue",39.140232,-86.516402,"Bloomington Parks & Rec","2021-05"
3764457,2021-05-03,NA,25930,3859,82405,175536,"Police Firing Range","3230 South Walnut Street",39.126991,-86.532934,"Bloomington Public Works","2021-05"
3764459,2021-05-03,NA,6785,890,19918,NA,"Fire 3","810 North Woodlawn Avenue",39.173428,-86.523519,"Bloomington Public Works","2021-05"
3764460,2021-05-03,NA,2618,440,9820,NA,"Maintenance Building 345","345 South Adams Street",39.164651,-86.551031,"Bloomington Parks & Rec","2021-05"
3764461,2021-05-03,NA,12767,1780,40210,NA,"Sanitation Building","3410 South Walnut Street",39.122987,-86.532137,"Bloomington Public Works","2021-05"
3764463,2021-05-03,NA,12335,1755,37771,NA,"Maintenance Building 545","545 South Adams Street",39.161806,-86.549627,"Bloomington Parks & Rec","2021-05"
3764464,2021-05-03,NA,5012,689,15443,NA,"Fire 4","2201 East 3rd Street",39.164505,-86.506999,"Bloomington Public Works","2021-05"
3764465,2021-05-03,NA,7408,754,16857,NA,"Winslow SR.","2120 South Highland Avenue",39.140232,-86.516402,"Bloomington Parks & Rec","2021-05"
3764466,2021-05-03,NA,NA,NA,NA,NA,"Winslow Tennis","2120 South Highland Avenue",39.140232,-86.516402,"Bloomington Parks & Rec","2021-05"
3764467,2021-05-03,NA,15091,1812,40842,NA,"Morton St Garage","220 North Morton Street",39.1678,-86.535909,"Bloomington Public Works","2021-05"
3764468,2021-05-03,NA,20052,3275,76371,NA,"Bryan Park","1020 South Woodlawn Avenue",39.15514,-86.523304,"Bloomington Parks & Rec","2021-05"
3764469,2021-05-03,NA,27244,2692,61223,NA,"Mills Pool","1100 West 14th Street",39.175869,-86.547203,"Bloomington Parks & Rec","2021-05"
3764470,2021-05-03,NA,15186,1903,42383,NA,"Walnut St Garage","302 North Walnut Street",39.168868,-86.53325,"Bloomington Public Works","2021-05"
