"site_id","date","watt_min","watt_max","watt_avg","watt_hours","watt_hours_expected","site","address","latitude","longitude","department","YearMonth"
3764455,2021-04-01,NA,26318,4518,104562,NA,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2021-04"
3764455,2021-04-02,NA,18340,5435,130273,NA,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2021-04"
3764455,2021-04-03,NA,17947,5314,127363,NA,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2021-04"
3764455,2021-04-04,NA,16295,4857,116472,NA,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2021-04"
3764455,2021-04-05,NA,16772,4767,114916,NA,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2021-04"
3764456,2021-04-01,NA,27118,5635,131367,NA,"Winslow JR.","2120 South Highland Avenue",39.140232,-86.516402,"Bloomington Parks & Rec","2021-04"
3764456,2021-04-02,NA,25870,3899,93077,NA,"Winslow JR.","2120 South Highland Avenue",39.140232,-86.516402,"Bloomington Parks & Rec","2021-04"
3764456,2021-04-03,NA,-3,-4,-93,NA,"Winslow JR.","2120 South Highland Avenue",39.140232,-86.516402,"Bloomington Parks & Rec","2021-04"
3764456,2021-04-04,NA,-3,-4,-91,NA,"Winslow JR.","2120 South Highland Avenue",39.140232,-86.516402,"Bloomington Parks & Rec","2021-04"
3764456,2021-04-05,NA,-3,-3,-91,NA,"Winslow JR.","2120 South Highland Avenue",39.140232,-86.516402,"Bloomington Parks & Rec","2021-04"
3764457,2021-04-01,NA,49872,10365,257580,160075,"Police Firing Range","3230 South Walnut Street",39.126991,-86.532934,"Bloomington Public Works","2021-04"
3764457,2021-04-02,NA,40358,12695,303940,160075,"Police Firing Range","3230 South Walnut Street",39.126991,-86.532934,"Bloomington Public Works","2021-04"
3764457,2021-04-03,NA,40024,12399,298905,160075,"Police Firing Range","3230 South Walnut Street",39.126991,-86.532934,"Bloomington Public Works","2021-04"
3764457,2021-04-04,NA,36050,11292,270517,160075,"Police Firing Range","3230 South Walnut Street",39.126991,-86.532934,"Bloomington Public Works","2021-04"
3764457,2021-04-05,NA,37481,11095,264423,160075,"Police Firing Range","3230 South Walnut Street",39.126991,-86.532934,"Bloomington Public Works","2021-04"
3764459,2021-04-01,NA,13096,2395,57278,NA,"Fire 3","810 North Woodlawn Avenue",39.173428,-86.523519,"Bloomington Public Works","2021-04"
3764459,2021-04-02,NA,10811,2830,67761,NA,"Fire 3","810 North Woodlawn Avenue",39.173428,-86.523519,"Bloomington Public Works","2021-04"
3764459,2021-04-03,NA,10719,2815,67469,NA,"Fire 3","810 North Woodlawn Avenue",39.173428,-86.523519,"Bloomington Public Works","2021-04"
3764459,2021-04-04,NA,9653,2588,61881,NA,"Fire 3","810 North Woodlawn Avenue",39.173428,-86.523519,"Bloomington Public Works","2021-04"
3764459,2021-04-05,NA,10058,2553,61069,NA,"Fire 3","810 North Woodlawn Avenue",39.173428,-86.523519,"Bloomington Public Works","2021-04"
3764460,2021-04-01,NA,5232,1206,28867,NA,"Maintenance Building 345","345 South Adams Street",39.164651,-86.551031,"Bloomington Parks & Rec","2021-04"
3764460,2021-04-02,NA,5074,1502,35982,NA,"Maintenance Building 345","345 South Adams Street",39.164651,-86.551031,"Bloomington Parks & Rec","2021-04"
3764460,2021-04-03,NA,5032,1492,35794,NA,"Maintenance Building 345","345 South Adams Street",39.164651,-86.551031,"Bloomington Parks & Rec","2021-04"
3764460,2021-04-04,NA,4475,1352,32398,NA,"Maintenance Building 345","345 South Adams Street",39.164651,-86.551031,"Bloomington Parks & Rec","2021-04"
3764460,2021-04-05,NA,4675,1342,32148,NA,"Maintenance Building 345","345 South Adams Street",39.164651,-86.551031,"Bloomington Parks & Rec","2021-04"
3764457,2021-04-06,NA,38298,9577,227486,160075,"Police Firing Range","3230 South Walnut Street",39.126991,-86.532934,"Bloomington Public Works","2021-04"
3764459,2021-04-06,NA,9688,2280,54177,NA,"Fire 3","810 North Woodlawn Avenue",39.173428,-86.523519,"Bloomington Public Works","2021-04"
